Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,enableActionsBoundToSelection,getSelectedItems,function,function,Call,62.0,True,7991,2175,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,enableActionsBoundToSelection,getFurnitureSubList,function,function,Call,62.0,True,7991,2165,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,enableActionsBoundToSelection,getWallsSubList,function,function,Call,62.0,True,7991,2182,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,enableActionsBoundToSelection,getRoomsSubList,function,function,Call,62.0,True,7991,2174,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,enableActionsBoundToSelection,getDimensionLinesSubList,function,function,Call,62.0,True,7991,2161,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,enableActionsBoundToSelection,getLabelsSubList,function,function,Call,62.0,True,7991,2169,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,enableSelectAllAction,getFurniture,function,function,Call,62.0,True,7994,2163,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,enableSelectAllAction,isEmpty,function,function,Call,62.0,True,7994,2185,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,undoableEditHappened,setModified,function,function,Call,62.0,True,8040,2203,sweetHome3DViewController,sweetHome3DModel
143,48,src/com/eteks/sweethome3d/viewcontroller/HomeController.java,src/com/eteks/sweethome3d/model/Home.java,addHomeItemsListener,addFurnitureListener,function,function,Call,62.0,True,7968,2139,sweetHome3DViewController,sweetHome3DModel
